Working_in,involvement_software,Age,Gender,Country,Education,employment_status,Role,Number_of_employees,project_team,Meeting_interrupted,Eye_contact,Asked_question_to_another,Presented_idea,Menial_tasks,Managing,Make_necessary_decisions,Team_values,Aggressive_or_bossy,Excluded_from_social,unfairly_treated,Biggest_obstacle,Harassment,Sexism,Growth_opportunities,Fairly compensated,Start_over,More_challenging_gender,Which_gender?,Anything_else?,Summary_or_contact
Yes,21+ years,56-65,Non-binary,Netherlands,Bachelors degree,Part-time (less than 38 hours a week),Support & Analyst,1001 - 10.000,1 - 5,Rarely,Rarely,Sometimes,Rarely,Rarely,Untrue,Disagree,Agree,no. never,one or two times,,People do not understand exactly what I do.,I haven't experienced or witnessed this behaviour,I have witnessed this behaviour,Agree,Agree,Disagree,Agree,Female,,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,3-5 years,36-45,Male,Germany,Doctorate,Full-time (38+ hours a week),Product owner,100.000+,11 - 15,Sometimes,Sometimes,Very often,Rarely,Rarely,True,Disagree,Disagree,three or four times,no. never,,,I have experienced and witnessed this behaviour,I have experienced and witnessed this behaviour,Neutral,Disagree,Agree,Strongly agree,Male,,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,3-5 years,26-35,Male,Germany,Masters degree,Full-time (38+ hours a week),Developer,100.000+,6 - 10,Rarely,Never,Rarely,Rarely,Never,Untrue,Agree,Agree,no. never,one or two times,No,,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Agree,Agree,Agree,Neutral,,,no thank you
Yes,3-5 years,26-35,Male,Greece,Doctorate,Full-time (38+ hours a week),Product owner,10 - 100,6 - 10,Sometimes,Rarely,Sometimes,Rarely,Rarely,True,Neutral,Disagree,More than four times,three or four times,yes. politics ,Micromanagement. politics ,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Agree,Neutral,Agree,Neutral,,,no thank you
Yes,3-5 years,26-35,Male,Ireland,Masters degree,Full-time (38+ hours a week),Consultant,101 - 500,1 - 5,Rarely,Sometimes,Sometimes,Rarely,Rarely,Untrue,Neutral,Neutral,no. never,no. never,I'm relatively new to the industry so I have been treated fairly to date. ,Constantly evolving technology that requires time to learn. Sometimes by the time you learn that technology it's already out of date. ,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Agree,Neutral,Agree,Strongly agree,Female. Non-binary,,no thank you
Yes,16-20 years,36-45,Male,Ireland,Masters degree,Full-time (38+ hours a week),Product owner,101 - 500,6 - 10,Sometimes,Rarely,Sometimes,Never,Never,True,Strongly agree,Agree,one or two times,one or two times,,The technology moves so fast. it is very hard to keep even vaguely up to date. Younger graduates tend to be skilled up in the latest tech and can therefore have an advantage over their older colleagues.,I have witnessed this behaviour,I have witnessed this behaviour,Agree,Agree,Neutral,Agree,Non-binary,,no thank you
Yes,3-5 years,46-55,Male,Netherlands,Masters degree,Unemployed (looking for a job),Developer,Less than 10,1 - 5,Sometimes,Rarely,Sometimes,Very often,Never,Untrue,Neutral,Strongly disagree,no. never,three or four times,yes. but just because I don't speak Dutch ,language barrier,I have experienced and witnessed this behaviour,I have witnessed this behaviour,Neutral,Disagree,Agree,Strongly agree,Female. Non-binary,,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,3-5 years,26-35,Female,Austria,Masters degree,Part-time (less than 38 hours a week),Data scientist,101 - 500,6 - 10,Very often,Sometimes,Very often,Very often,Rarely,True,Disagree,Agree,one or two times,one or two times,yes. I mainly have experienced gender bias in the industry. Women has to do too much work to prove themselves. while for men it is much easier. This is when it comes specially to salary raise or promotion. ,Not given the authority to take and execute decision. while I'm expected to be in charge of a project. But. this is not usually reflected in my title and responsibilities.,I have witnessed this behaviour,I have experienced this behaviour,Disagree,Disagree,Agree,Strongly agree,Female,,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,6-10 years,26-35,Female,Netherlands,Masters degree,Part-time (less than 38 hours a week),Product owner,10.000 - 100.000,6 - 10,Sometimes,Sometimes,Very often,Sometimes,Very often,True,Neutral,Agree,one or two times,no. never,,,I have experienced this behaviour,I have experienced this behaviour,Strongly agree,Strongly agree,Strongly agree,Neutral,,Regarding the question about whether certain genders have it more difficult in the industry: I find that it always depends more on individual character how difficult this makes it. I also would not limit it to gender. but to anything that makes you stick out (be it your religion. accent. haircut. ...): Sticking out can be an advantage or a disadvantage. it is in my opinion also a matter of character if you own it or not. I am a woman in computer science and I always found it to be an advantage: people were generally happy to work with me. because there are so few women around and I was lucky to always find someone who mentored or promoted me. I did get my fair share of stupid sexist comments. but I am generally quick-witted enough to come up with a comeback that is equally below the belt. That usually makes these comments stop quite fast. I can imagine. that others who are more introverted suffer more from this kind of sexism and have a different experience altogether.,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,11-15 years,36-45,Male,Italy,Bachelors degree,Self-employed,Developer,I am a freelancer,1 - 5,Rarely,Never,Rarely,Never,Rarely,True,Strongly agree,Agree,one or two times,no. never,Stolen ideas,At the beginning my age was too low to have respect from older collegue,I have experienced this behaviour,I have experienced and witnessed this behaviour,Neutral,Neutral,Neutral,Agree,Female,,no thank you
Yes,11-15 years,36-45,Female,Peru,Masters degree,Part-time (less than 38 hours a week),Product owner,1001 - 10.000,16 - 20,Rarely,Never,Rarely,Sometimes,Sometimes,True,Agree,Strongly agree,three or four times,one or two times,Yes. Being a woman In the software industry is hard,Sometimes other people have tried to steal them at work because I was a woman and because I was too young to know that many stuff,I have experienced this behaviour,I have experienced this behaviour,Agree,Strongly agree,Strongly disagree,Strongly agree,Female,I think it’s all expressed in the questions,Yes I am willing to keep in touch in case additional information is needed.
Yes,16-20 years,26-35,Male,Netherlands,Bachelors degree,Full-time (38+ hours a week),Architect,10.000 - 100.000,6 - 10,Rarely,Rarely,Very often,Sometimes,Never,True,Agree,Agree,one or two times,no. never,Not that I recall.,,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Agree,Agree,Agree,Neutral,,,Yes I would like to obtain a summary of the results
Yes,3-5 years,26-35,Male,Bolivia,Doctorate,Full-time (38+ hours a week),Architect,Less than 10,1 - 5,Sometimes,Rarely,Very often,Rarely,Never,True,Strongly agree,Agree,one or two times,no. never,Well. I got strong knowledge in advanced topics in computer science. but somethimes you had to meet some technology requirements to get clients or to get a job. I think that technology can be learned faster. but a good skills in solving problems. are hard to get. So. I think people should consider solid knowledge in algorithms. data science. etc. rather than technologies. ,In Bolivia. there is a high demand of software engineers. this fact cause that developers change company regularly. in addition the high demand cause the salaries expectation go up rappitly. Therefore. 1) sometimes you spend money to train someone and he may leave son to another company once they got some experience. 2) I hire people with high salaries even they do not know much about the technology we are working. but I have to do it mostly because the demand.,I have witnessed this behaviour,I have witnessed this behaviour,Strongly agree,Strongly agree,Strongly agree,Neutral,,Nop,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,16-20 years,36-45,Female,Netherlands,Bachelors degree,Full-time (38+ hours a week),Scrum Master,10 - 100,6 - 10,Rarely,Rarely,Rarely,Never,Never,True,Agree,Neutral,no. never,no. never,no. unless you have an unfair manager. happened once with me.,Too much pressures coming from project managers,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Agree,Neutral,Strongly agree,Disagree,,,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,16-20 years,46-55,Male,Brazil,Bachelors degree,Full-time (38+ hours a week),Architect,10.000 - 100.000,6 - 10,Very often,Sometimes,Rarely,Sometimes,Never,True,Strongly agree,Strongly agree,three or four times,no. never,yes. in some situations where even with reason and with technical data I was ignored by my management.  in the end. my data was correct and the company lost money.  I resigned from the manager.  and got a new job,make people understand that I'm not smarter than them and that yes. I have more experience and use a lot of heuristics to find the right path,I have experienced and witnessed this behaviour,I haven't experienced or witnessed this behaviour,Agree,Agree,Agree,Neutral,,,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,16-20 years,36-45,Male,Spain,Masters degree,Full-time (38+ hours a week),Project manager,101 - 500,6 - 10,Sometimes,Rarely,Rarely,Never,Rarely,True,Agree,Agree,no. never,no. never,no. I have been recognized and promoted ,High load ofrece projects and tasks,I haven't experienced or witnessed this behaviour,I have experienced and witnessed this behaviour,Agree,Agree,Agree,Agree,Female,I agree on same opportunities for everybody based on performance ,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,Less than 2 years,36-45,Male,Brazil,Masters degree,Full-time (38+ hours a week),Principal,101 - 500,1 - 5,Rarely,Always,Rarely,Never,Never,True,Agree,Strongly agree,no. never,one or two times,No.,Assuming a project of others.,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Agree,Agree,Strongly disagree,Disagree,,,no thank you
Yes,3-5 years,26-35,Female,Netherlands,Doctorate,Part-time (less than 38 hours a week),Machine learning engineer ,501 - 1000,6 - 10,Rarely,Rarely,Rarely,Sometimes,Rarely,Untrue,Strongly agree,Strongly agree,one or two times,one or two times,,,I have witnessed this behaviour,I have experienced and witnessed this behaviour,Strongly agree,Disagree,Strongly agree,Agree,Female. Non-binary,,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,3-5 years,18-25,Male,Netherlands,Bachelors degree,Full-time (38+ hours a week),Developer,10.000 - 100.000,11 - 15,Very often,Rarely,Very often,Always,Always,True,Neutral,Strongly agree,no. never,no. never,I didn't have this experience,"Business gap. I feel that a lot of developers are not highly involved with business and that makes communication harder. In addition to that. I feel that business classifies the software industry as ""IT"" and as ""labour work"" where we are expected just to build something. but not necessarily suggest. advice. or even propose potential ideas and solutions. Often. if we suggest or advice. our opinion is not always important.",I have experienced this behaviour,I have experienced this behaviour,Agree,Neutral,Strongly agree,Strongly agree,Female. Non-binary,I would like to mention that I've experienced a lot of discrimination against women. When I experience it I try to stop it but it's really tricky and I see that it happens from really small startups to really big corporations. We need more women. and we actually need to have a balance. ,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,6-10 years,26-35,Male,Mexico,Masters degree,Full-time (38+ hours a week),Developer,101 - 500,1 - 5,Sometimes,Rarely,Sometimes,Sometimes,Never,Untrue,Agree,Agree,More than four times,one or two times,,,I haven't experienced or witnessed this behaviour,I have witnessed this behaviour,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,,,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,6-10 years,36-45,Male,United Kingdom,Doctorate,Full-time (38+ hours a week),Developer,100.000+,6 - 10,Rarely,Rarely,Sometimes,Never,Rarely,Untrue,Agree,Agree,no. never,one or two times,,,I have witnessed this behaviour,I have witnessed this behaviour,Agree,Agree,Agree,Strongly agree,Female. Non-binary,,no thank you
Yes,3-5 years,26-35,Male,Greece,Doctorate,Full-time (38+ hours a week),Architect,1001 - 10.000,1 - 5,Always,Rarely,Very often,Sometimes,Never,True,Strongly agree,Agree,one or two times,no. never,Left out of project that was within my expertise. due to competition,Jealousy and hostility from less formally educated colleagues,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Neutral,Strongly disagree,Agree,Strongly agree,Non-binary,,Yes I would like to obtain a summary of the results
Yes,21+ years,56-65,Female,United States,Masters degree,Retired,consultant,I am a freelancer,11 - 15,Sometimes,Sometimes,Sometimes,Sometimes,Never,True,Strongly agree,Strongly agree,three or four times,one or two times,I've been in sw dev for many years. women started out as the knowledgeable programmers/designers then were replaced when men saw the job security options...,Bias from funders who think they know what customers 'want' --but never survey or ask customers what they would need/use in an appln.,I have experienced this behaviour,I have experienced this behaviour,Neutral,Strongly disagree,Neutral,Neutral,,had hoped much would change by now...the boy's club or sausage factory as they are sometimes referred to...is still too much of a 'thing'...VCs through the individual developers,Yes I would like to obtain a summary of the results
Yes,6-10 years,26-35,Female,Germany,Masters degree,Full-time (38+ hours a week),Product owner,501 - 1000,6 - 10,Sometimes,Rarely,Sometimes,Rarely,Rarely,True,Agree,Neutral,no. never,one or two times,yes. for e.g. salary wise. I have noticed a big gap between my colleagues and my salary.,As a young woman working in management. I feel not heard the same as my male colleagues. ,I have experienced and witnessed this behaviour,I have experienced and witnessed this behaviour,Strongly agree,Disagree,Strongly disagree,Agree,Female,,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,21+ years,36-45,Male,Netherlands,Doctorate,Self-employed,Architect,10 - 100,1 - 5,Rarely,Never,Rarely,Sometimes,Never,True,Strongly agree,Strongly agree,one or two times,no. never,no,The biggest obstacle probably is keeping up with new technology,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Strongly agree,Strongly agree,Strongly agree,Neutral,,,no thank you
Yes,16-20 years,36-45,Female,Sweden,Masters degree,Self-employed,CEO of a 2-person company,Less than 10,1 - 5,Always,Sometimes,Sometimes,Rarely,Very often,True,Agree,Agree,three or four times,three or four times,Too long to explain. Multiple cases of discrimination during team lead selection. best project selection. promotions and a big one after maternity leave.,"Lack of meritocracy as applied to minorities. who are required to have 100% of qualifications to get jobs and promotions. while white men take the glass elevator with half the qualifications and are less likely to be punished for failure.
",I have experienced and witnessed this behaviour,I have experienced and witnessed this behaviour,Agree,Neutral,Agree,Strongly agree,Female. Non-binary,Some questions (like the ones mentioning 3-4 times) are really anchoring the answers. Might be good to word things a bit more neutrally for future analysis.,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,3-5 years,36-45,Male,Italy,Bachelors degree,Full-time (38+ hours a week),Developer,1001 - 10.000,1 - 5,Rarely,Rarely,Rarely,Never,Rarely,Untrue,Neutral,Agree,no. never,no. never,,Learning quickly the business knowledge. being sent as a consultant in a difficult environment.,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Agree,Agree,Neutral,Disagree,,,no thank you
Yes,16-20 years,36-45,Male,United States,Doctorate,Full-time (38+ hours a week),Developer,100.000+,6 - 10,Sometimes,Rarely,Rarely,Never,Never,Untrue,Agree,Agree,no. never,no. never,,,I haven't experienced or witnessed this behaviour,I have witnessed this behaviour,Agree,Agree,Agree,Agree,Female. Non-binary,,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,11-15 years,26-35,Female,Mexico,Masters degree,Full-time (38+ hours a week),Developer,10.000 - 100.000,16 - 20,Rarely,Rarely,Rarely,Rarely,Never,Untrue,Agree,Agree,no. never,no. never,no,Getting familiar with a new project,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Agree,Agree,Strongly agree,Disagree,,No,Yes I am willing to keep in touch in case additional information is needed.
Yes,11-15 years,36-45,Male,Bolivia,Bachelors degree,Full-time (38+ hours a week),Developer,10 - 100,11 - 15,Very often,Very often,Very often,Very often,Very often,True,Agree,Agree,one or two times,one or two times,no. never.,Learn English.,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Agree,Neutral,Agree,Agree,Female,"It's important to understand any problem before starting to write Code. There is a phrase that I like: ""The best line of code is the one that you don't need to write""",Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,21+ years,36-45,Male,Brazil,Bachelors degree,Full-time (38+ hours a week),Project manager,1001 - 10.000,11 - 15,Sometimes,Sometimes,Rarely,Never,Sometimes,True,Strongly agree,Strongly agree,no. never,no. never,Sim. Um única vez. Atribuíram uma determinada culpa. mesmo tendo evidências de que tomei a ação correta.,O gerenciamento de comunicação. Ela interfere diretamente na condução do projeto. O alinhamento entre a equipe é fundamental. garante a atenção ao escopo e o andamento das próximas etapas.,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Strongly agree,Neutral,Agree,Disagree,,Nao.,Yes I would like to obtain a summary of the results
Yes,3-5 years,26-35,Female,Sweden,Masters degree,Full-time (38+ hours a week),Product owner,10.000 - 100.000,1 - 5,Sometimes,Rarely,Sometimes,Rarely,Rarely,True,Agree,Strongly agree,no. never,one or two times,In meetings with older men in security related professions I had to bring a man to speak for me.,Lack of a relevant degree.,I have witnessed this behaviour,I have experienced this behaviour,Agree,Neutral,Agree,Strongly agree,Female. Non-binary,,Yes I am willing to keep in touch in case additional information is needed.
Yes,6-10 years,36-45,Female,Netherlands,Doctorate,Part-time (less than 38 hours a week),Data scientist,101 - 500,6 - 10,Rarely,Rarely,Sometimes,Rarely,Rarely,Untrue,Neutral,Neutral,no. never,no. never,yes as a woman and a mother,too many male colleagues,I have experienced this behaviour,I have experienced this behaviour,Neutral,Strongly disagree,Disagree,Strongly agree,Female,,Yes I would like to obtain a summary of the results
Yes,3-5 years,26-35,Male,Switzerland,Masters degree,Part-time (less than 38 hours a week),Data scientist,10 - 100,1 - 5,Sometimes,Sometimes,Rarely,Rarely,Never,Untrue,Agree,Agree,no. never,no. never,Not taken serious by colleagues that are more experienced in the industry compared to yourself (e.g. senior managers).,Showing what you are capable of to get the responsibility you are able to handle (and to get increased compensation for the added responsibilities). ,I have witnessed this behaviour,I haven't experienced or witnessed this behaviour,Agree,Neutral,Agree,Neutral,,,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,21+ years,36-45,Male,Switzerland,Masters degree,Full-time (38+ hours a week),Architect,Less than 10,1 - 5,Rarely,Never,Rarely,Never,Never,Untrue,Strongly agree,Strongly agree,More than four times,three or four times,Not really,My high expectations,I have witnessed this behaviour,I have witnessed this behaviour,Strongly agree,Neutral,Strongly agree,Agree,Female. Non-binary,,no thank you
Yes,6-10 years,26-35,Male,Spain,Bachelors degree,Full-time (38+ hours a week),Developer,10 - 100,1 - 5,Rarely,Never,Rarely,Never,Never,Untrue,Agree,Strongly agree,no. never,one or two times,,,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Agree,Disagree,Strongly agree,Agree,Female,,Yes I would like to obtain a summary of the results
Yes,6-10 years,26-35,Male,Norway,Bachelors degree,Full-time (38+ hours a week),Developer,10 - 100,1 - 5,Sometimes,Rarely,Never,Never,Never,Untrue,Strongly agree,Strongly agree,no. never,no. never,no,Incompetent. non-technical leaders. bureaucratic obstacles,I haven't experienced or witnessed this behaviour,I have witnessed this behaviour,Strongly agree,Strongly agree,Strongly agree,Neutral,,,no thank you
Yes,Less than 2 years,18-25,Male,Netherlands,Masters degree,Full-time (38+ hours a week),Designer,10.000 - 100.000,1 - 5,Sometimes,Rarely,Sometimes,Sometimes,Rarely,True,Strongly agree,Agree,no. never,no. never,To be honest: no. ,The knowledge needed in the software industry. ,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Strongly agree,Agree,Strongly agree,Neutral,,,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,16-20 years,26-35,Male,Switzerland,High school degree or equivalent,Full-time (38+ hours a week),Developer,10 - 100,6 - 10,Rarely,Never,Rarely,Rarely,Rarely,Untrue,Strongly agree,Agree,one or two times,one or two times,,diving into bad written code is every time annoying and time consuming,I have experienced this behaviour,I haven't experienced or witnessed this behaviour,Strongly agree,Strongly agree,Strongly agree,Disagree,,,no thank you
Yes,21+ years,46-55,Male,Brazil,Masters degree,Full-time (38+ hours a week),Professor,501 - 1000,26+,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Untrue,Neutral,Neutral,no. never,no. never,,,I have witnessed this behaviour,I have witnessed this behaviour,Neutral,Neutral,Neutral,Neutral,,,no thank you
Yes,21+ years,46-55,Male,Brazil,Bachelors degree,Full-time (38+ hours a week),Project manager,1001 - 10.000,6 - 10,Rarely,Rarely,Sometimes,Rarely,Rarely,True,Agree,Agree,one or two times,one or two times,Yes. Currently. the software industry is very focused on quick objectives and often values ??more external ready solutions / expertise instead of training and periodic evaluations their own teams.,The biggest obstacle is discovering and cultivating talents. The change of command and the excess of the need for protagonism are also very disruptive.,I haven't experienced or witnessed this behaviour,I have witnessed this behaviour,Neutral,Neutral,Strongly agree,Neutral,,In Brazil. especially in public sector. we are very much in tandem with what happens in leading commercial companies and subject to good initiatives as well as fads. which results in only average results,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,6-10 years,26-35,Male,Belgium,High school degree or equivalent,Unemployed (looking for a job),lfg,I am a freelancer,1 - 5,Never,Never,Never,Never,Rarely,Untrue,Neutral,Neutral,no. never,one or two times,No.,I am too stupid to hold a job that requires me to think. which is a great disadvantage.,I have witnessed this behaviour,I have witnessed this behaviour,Strongly disagree,Neutral,Strongly disagree,Disagree,,Recently more conservative and right-leaning political stances have become something of a taboo. which has hurt the careers of industry veterans like Eric Raymond.,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,21+ years,46-55,Female,United States,Masters degree,Full-time (38+ hours a week),Project manager,10.000 - 100.000,11 - 15,Sometimes,Sometimes,Sometimes,Sometimes,Very often,True,Agree,Agree,three or four times,three or four times,I am always mid level manager. made it to senior level manger. applied for Director positions but never got it. ,I am always one that delivers every project on time. within budget but never had good mentor or someone to quide me to the next level. ,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Neutral,Agree,Agree,Disagree,,,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,3-5 years,18-25,Male,Brazil,Masters degree,Full-time (38+ hours a week),Developer,101 - 500,11 - 15,Rarely,Sometimes,Sometimes,Never,Never,Untrue,Agree,Agree,no. never,one or two times,No. Never,Acquire practical experience of the techniques adopted by the company. which somehow distanced themselves from the knowledge acquired at the university.,I have witnessed this behaviour,I have witnessed this behaviour,Strongly agree,Disagree,Agree,Strongly agree,Female. Non-binary,,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,6-10 years,26-35,Male,Germany,Bachelors degree,Full-time (38+ hours a week),Developer,1001 - 10.000,1 - 5,Rarely,Never,Rarely,Never,Never,Untrue,Agree,Strongly agree,no. never,no. never,,Communication. Persuading others (stake  holders. team members. etc),I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Neutral,Neutral,Strongly agree,Neutral,,,no thank you
Yes,Less than 2 years,26-35,Male,Netherlands,Masters degree,Full-time (38+ hours a week),Developer,101 - 500,6 - 10,Sometimes,Rarely,Rarely,Never,Never,Untrue,Agree,Agree,no. never,no. never,Never experienced,Working remotely. which makes it hard to socialize with other colleagues,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Agree,Agree,Strongly agree,Strongly agree,Female. Non-binary,No,no thank you
Yes,6-10 years,26-35,Male,Germany,Masters degree,Full-time (38+ hours a week),Developer,10.000 - 100.000,6 - 10,Sometimes,Sometimes,Sometimes,Never,Rarely,Untrue,Agree,Agree,one or two times,no. never,,,I have witnessed this behaviour,I have witnessed this behaviour,Strongly agree,Agree,Agree,Neutral,,,no thank you
Yes,3-5 years,26-35,Male,United Kingdom,Masters degree,Full-time (38+ hours a week),Research Software Engineer,100.000+,1 - 5,Very often,Never,Rarely,Never,Never,Untrue,Disagree,Neutral,no. never,one or two times,,People being defensive and unwilling to consider new ways of doing things. gatekeeping.,I have witnessed this behaviour,I have experienced this behaviour,Neutral,Agree,Disagree,Strongly agree,Female,,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,11-15 years,36-45,Female,United States,Masters degree,Full-time (38+ hours a week),Developer,100.000+,6 - 10,Sometimes,Never,Rarely,Rarely,Rarely,Untrue,Strongly agree,Strongly agree,no. never,no. never,no. I feel l've been treated equally as the rest of my team,Dealing with people with big egos and they feel they have all the knowledge,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Strongly agree,Strongly agree,Strongly agree,Agree,Female. Non-binary,,no thank you
Yes,11-15 years,36-45,Male,United States,Bachelors degree,Full-time (38+ hours a week),Developer,10.000 - 100.000,6 - 10,Sometimes,Rarely,Sometimes,Rarely,Rarely,Untrue,Agree,Agree,three or four times,no. never,False expectations when it comes to career advancement. ,Keep work interesting. not all software development is as exciting. Self motivation. lack of good leaders. ,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Agree,Agree,Strongly agree,Agree,Female. Non-binary,,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,3-5 years,26-35,Female,Estonia,Bachelors degree,Full-time (38+ hours a week),Business strategy manager ,10 - 100,1 - 5,Very often,Sometimes,Very often,Rarely,Rarely,True,Strongly agree,Agree,More than four times,three or four times,yes. very often actually. But now it does not concern me any more I just focus on my work and keep going. I believe it cultural  ,Dealing with IT developers and their way of managing time to achieve with their projects ,I haven't experienced or witnessed this behaviour,I have experienced and witnessed this behaviour,Strongly agree,Agree,Agree,Neutral,,No at the moment ,Yes I am willing to keep in touch in case additional information is needed.
Yes,3-5 years,26-35,Female,Bangladesh,Masters degree,Unemployed (looking for a job),Developer,101 - 500,1 - 5,Rarely,Never,Never,Never,Never,Untrue,Agree,Agree,no. never,no. never,No,I was assigned to a couple of projects for which I didn't have the required expertise and the deadline was quite tight like 3-5 days. The projects were based on totally different technology and I didn't have any prior expertise in it. And I wasn't actually hired for such projects which was quite frustrating. Since most of the resources were busy I was assigned to those tasks. At the end I completed my tasks successfully within the deadlines but I wasn't really convinced enough about the quality of the projects as I literally had zero knowledge about the technologies being used. Also I didn't get any training or time to learn new tools and technologies before applying them into production level codes. ,I haven't experienced or witnessed this behaviour,I have witnessed this behaviour,Agree,Agree,Agree,Disagree,,No,no thank you
Yes,3-5 years,36-45,Male,Argentina,Masters degree,Full-time (38+ hours a week),Developer,501 - 1000,6 - 10,Sometimes,Rarely,Never,Never,Never,Untrue,Neutral,Agree,no. never,no. never,Not really,Training myself to achieve higher positions,I have witnessed this behaviour,I have experienced this behaviour,Neutral,Agree,Agree,Strongly agree,Female. Non-binary,,Yes I would like to obtain a summary of the results
Yes,6-10 years,26-35,Male,Argentina,High school degree or equivalent,Full-time (38+ hours a week),Developer,10 - 100,1 - 5,Rarely,Rarely,Never,Never,Rarely,Untrue,Agree,Strongly agree,no. never,no. never,Not really,None...,I have witnessed this behaviour,I have witnessed this behaviour,Strongly agree,Agree,Agree,Strongly agree,Female. Non-binary,Not really,Yes I would like to obtain a summary of the results
Yes,3-5 years,26-35,Male,Germany,Masters degree,Full-time (38+ hours a week),Data scientist,1001 - 10.000,11 - 15,Sometimes,Sometimes,Rarely,Never,Rarely,Untrue,Neutral,Agree,no. never,no. never,,Missing good leadership,I have witnessed this behaviour,I have witnessed this behaviour,Neutral,Neutral,Agree,Agree,Female. Non-binary,,no thank you
Yes,6-10 years,36-45,Male,Argentina,Doctorate,Full-time (38+ hours a week),Architect,10.000 - 100.000,16 - 20,Rarely,Rarely,Rarely,Never,Never,Untrue,Agree,Strongly agree,no. never,one or two times,,,I have witnessed this behaviour,I have witnessed this behaviour,Strongly agree,Agree,Strongly agree,Strongly agree,Female. Non-binary,,no thank you
Yes,11-15 years,36-45,Male,Argentina,Doctorate,Full-time (38+ hours a week),Project manager,10.000 - 100.000,11 - 15,Sometimes,Never,Never,Rarely,Sometimes,True,Strongly agree,Strongly agree,one or two times,no. never,No,Rapid changes of technologies. Clients that don't know why they are using a technology. but anyways use it.,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Strongly agree,Agree,Agree,Agree,Female. Non-binary,No,no thank you
Yes,3-5 years,26-35,Female,Germany,Masters degree,Full-time (38+ hours a week),Developer,100.000+,6 - 10,Rarely,Sometimes,Rarely,Never,Sometimes,Untrue,Neutral,Agree,no. never,one or two times,No,Interacting with not technical people and depending on their decisions. Politics inside the company,I have experienced and witnessed this behaviour,I haven't experienced or witnessed this behaviour,Agree,Disagree,Strongly agree,Disagree,,No,Yes I would like to obtain a summary of the results
